0	1	date	formato
-106.4844067	31.7388852	1992-03-01	TIENDA COPPEL
-107.3974728	24.808823	1956-01-01	TIENDA COPPEL
-107.3953827	24.8057743	1961-01-01	TIENDA COPPEL
-107.393615	24.7981801	1968-01-01	TIENDA COPPEL
-108.9913827	25.8009625	1987-11-01	TIENDA COPPEL
-107.7014482	24.7637822	1972-01-01	TIENDA COPPEL
-108.4522061	25.5505695	1979-11-01	TIENDA COPPEL
-108.4663309	25.5606486	1977-10-01	TIENDA COPPEL
-109.9348711	27.4938751	1980-07-01	TIENDA COPPEL
-107.4159982	24.8392319	1982-07-01	TIENDA COPPEL
-109.9316329	27.4871043	1985-10-01	TIENDA COPPEL
-107.3941559	24.8010378	1984-12-01	TIENDA COPPEL
-106.4206962	23.2026719	1985-04-01	TIENDA COPPEL
-100.0142924	25.2753037	1985-09-01	TIENDA COPPEL
-110.953644	29.0834457	1985-12-01	TIENDA COPPEL
-108.9882766	25.7841552	1986-11-01	TIENDA COPPEL
-110.9973609	29.136291	1987-12-01	TIENDA COPPEL
-106.4199755	23.2051184	1988-03-01	TIENDA COPPEL
-115.4777039	32.658463	1988-11-01	TIENDA COPPEL
-104.8989444	21.5135644	1988-11-01	TIENDA COPPEL
-110.8903093	27.9256164	1989-04-01	TIENDA COPPEL
-104.6669355	24.0258092	1990-03-01	TIENDA COPPEL
-114.7825892	32.483398	1992-11-01	TIENDA COPPEL
-104.8920656	21.5130712	1990-11-01	TIENDA COPPEL
-110.9643304	31.2669063	1990-11-01	TIENDA COPPEL
-103.4638083	25.5422746	1991-09-01	TIENDA COPPEL
-109.4526061	27.0733933	1991-05-01	TIENDA COPPEL
-115.4777039	32.658463	1991-07-01	TIENDA COPPEL
-106.4209127	23.2431298	1991-07-01	TIENDA COPPEL
-99.2267067	19.3605334	1991-10-01	TIENDA COPPEL
-110.9924098	29.0937908	1991-11-01	TIENDA COPPEL
-103.4964822	25.5650504	1991-11-01	TIENDA COPPEL
-109.9521077	27.4826906	1992-06-01	TIENDA COPPEL
-100.9874236	25.4265178	1992-08-01	TIENDA COPPEL
-102.8678676	23.1739499	1996-04-01	TIENDA COPPEL
-99.146999	19.431252	1992-10-01	TIENDA COPPEL
-102.2965552	21.8791098	1993-03-01	TIENDA COPPEL
-105.2299484	20.6328091	1993-10-01	TIENDA COPPEL
-101.398455	26.9606692	1993-09-01	TIENDA COPPEL
-101.9209228	21.3614464	1993-10-01	TIENDA COPPEL
-101.1912034	19.6954869	1994-07-01	TIENDA COPPEL
-100.9793128	22.1568518	1994-10-01	TIENDA COPPEL
-3.7076445	40.4115165	1994-09-01	TIENDA COPPEL
-110.9104279	27.9274116	1994-10-01	TIENDA COPPEL
-106.1047394	28.6023042	1994-07-01	TIENDA COPPEL
-105.4737979	28.1936384	1994-11-01	TIENDA COPPEL
-102.3099505	21.8964877	1994-07-01	TIENDA COPPEL
-102.5507336	20.2819051	1994-11-01	TIENDA COPPEL
-101.0035081	25.4270256	1996-04-01	TIENDA COPPEL
-103.7390894	19.2438822	1994-11-01	COPPEL REMATE
-102.297285	19.9774364	1994-11-01	TIENDA COPPEL
-106.4316684	31.7216879	1995-08-01	TIENDA COPPEL
-102.2997031	21.8874779	1995-04-01	TIENDA COPPEL
-106.4311111	31.7038397	1995-11-01	TIENDA COPPEL
-103.405881	25.5307615	1995-11-01	TIENDA COPPEL
-101.6840449	21.1199495	1996-07-01	TIENDA COPPEL
-100.3953552	20.5923214	1996-11-01	TIENDA COPPEL
-100.8104069	20.5197463	1996-11-01	TIENDA COPPEL
-104.6681252	24.0215052	1997-08-01	TIENDA COPPEL
-106.1055892	28.6709252	1997-10-01	TIENDA COPPEL
-110.9475262	31.3212434	1997-09-01	TIENDA COPPEL
-99.6622632	19.2488262	1997-11-01	TIENDA COPPEL
-103.7231429	19.240026	1997-11-01	TIENDA COPPEL
